"","DJ","spprice","spdividend","spearnings","cpi","LRIR","ffrate","CPIrent","mktyield1yr","mktyield3yr","mktyield5yr","mktyield10yr","mktyield20yr","employeecomp","PCE","PS","newhousingunits","mktvalueprivatedebt","mktvaluegrossfeddebt","ratespread","BAA10yr","industrialprod","securitiesinbankcredit","commercialbankcredit","pctchangeTCC","nonrevolvingconsumercredit","m1","m2","incomeonassets"
"DJ",1,0.987512315097839,0.945591345786475,0.881903124852004,0.892390947972282,-0.760111496753341,-0.550897244854244,0.922305715746518,-0.550752235395572,-0.635548712320011,-0.691774270697096,-0.759856125163158,-0.152201002340357,0.908204741175496,0.89517978502439,-0.0666652922432569,-0.0591358424809908,0.907148848655805,0.902129929563399,-0.257830036363387,0.0494315410109739,0.78320975956929,0.970667111664517,0.901998968805266,-0.146601213724398,0.91582196507153,0.953100313531099,0.941330807878776,0.909770834385297
"spprice",0.987512315097839,1,0.918608549182323,0.855441565959433,0.856778192025646,-0.718446038781586,-0.498895545716437,0.889448764399182,-0.499645949856814,-0.587767101286575,-0.64648862409595,-0.718267059441133,-0.149902253900265,0.873070955599987,0.857435151101633,-0.0116006119431438,-0.0283714166880836,0.883636349130376,0.871642226219048,-0.291716509252326,0.0123800303210229,0.733358353652704,0.959473736470931,0.86522141309281,-0.138651051327431,0.878594503103931,0.964868614206617,0.913106837873193,0.875796671411155
"spdividend",0.945591345786475,0.918608549182323,1,0.887937111947805,0.967491079632267,-0.875559361435251,-0.689820354821922,0.983447262273566,-0.693940054827168,-0.774486074377232,-0.822552513232602,-0.875379456279461,-0.202591930595221,0.970083312212044,0.966233594380943,-0.103595110199847,-0.237003707586306,0.973012404864585,0.977806130426915,-0.175836792801875,0.185256755315444,0.865268014687712,0.953585495151115,0.975192252820828,-0.234804632066007,0.973494352623559,0.902897217020449,0.984817324597944,0.975694849268315
"spearnings",0.881903124852004,0.855441565959433,0.887937111947805,1,0.882338166168341,-0.767914719278741,-0.539359857515452,0.882571761528168,-0.550070769909342,-0.64764222003002,-0.705504222624579,-0.767766676545634,-0.0901344376890326,0.890189171559843,0.885937498765691,-0.210700419409516,-0.0870789951218376,0.864670760999019,0.880326670543471,-0.298457883818262,-0.0713617712603518,0.86064267002089,0.857557437111071,0.877636056228909,-0.0451324053647038,0.888049726012519,0.808403213965082,0.881489092029183,0.901397453695543
"cpi",0.892390947972282,0.856778192025646,0.967491079632267,0.882338166168341,1,-0.91923563212108,-0.768730002234631,0.993298392692979,-0.773255730026428,-0.845940230443183,-0.883184127537678,-0.919223885402786,-0.119167272564446,0.995868807363393,0.997730995224702,-0.221346864140448,-0.262806882810128,0.955233249987975,0.987197325966081,-0.087197265107835,0.256356615887339,0.933534502757683,0.913328457779172,0.993039944509077,-0.249046768350756,0.978253254202461,0.848770998913907,0.974923645819117,0.989883291996446
"LRIR",-0.760111496753341,-0.718446038781586,-0.875559361435251,-0.767914719278741,-0.91923563212108,1,0.890168672505983,-0.912751069005179,0.915705342463803,0.966744662728263,0.988890486629346,0.999966993558915,0.177269322145625,-0.916205572318937,-0.922554049223917,0.113337570483386,0.298782476625302,-0.895960079002145,-0.933666890792949,-0.023581213815326,-0.423162027729952,-0.876506245282297,-0.797826219109908,-0.922507674801202,0.272302794829842,-0.91003846043852,-0.726124235835598,-0.897899821055845,-0.907568161026884
"ffrate",-0.550897244854244,-0.498895545716437,-0.689820354821922,-0.539359857515452,-0.768730002234631,0.890168672505983,1,-0.753270029047629,0.987789021863912,0.961048577566071,0.934251001747598,0.89044906550386,0.153202627233729,-0.747643360057589,-0.766024461020743,0.0600750334804259,0.365272587649516,-0.755141676289078,-0.79157443421575,-0.476439939275615,-0.510307066071296,-0.702569494447684,-0.636354681061174,-0.764979013280153,0.281929605738036,-0.746404788966412,-0.562349375056719,-0.744048101089911,-0.72509737636795
"CPIrent",0.922305715746518,0.889448764399182,0.983447262273566,0.882571761528168,0.993298392692979,-0.912751069005179,-0.753270029047629,1,-0.758721951670972,-0.833214680737457,-0.873134949409115,-0.912669739778271,-0.160243704960149,0.994030096238211,0.993974101753415,-0.167386486290829,-0.250107599127001,0.966578395347896,0.989592581877963,-0.108496723312477,0.255924412837899,0.910685241594851,0.941309886211088,0.996779585067267,-0.262363698722855,0.990777353040104,0.878763952667671,0.991672270460489,0.987061864620007
"mktyield1yr",-0.550752235395572,-0.499645949856814,-0.693940054827168,-0.550070769909342,-0.773255730026428,0.915705342463803,0.987789021863912,-0.758721951670972,1,0.984464431086938,0.960194021388664,0.915913169616249,0.17924963732699,-0.755414824053395,-0.772920867720365,0.0558283250455522,0.386156250367771,-0.75566051455776,-0.796127445770347,-0.400419417687432,-0.543322095731828,-0.720562091077484,-0.629277926359549,-0.773638244421101,0.305604384550443,-0.757106510173164,-0.549555051482152,-0.748548181289748,-0.73224808174558
"mktyield3yr",-0.635548712320011,-0.587767101286575,-0.774486074377232,-0.64764222003002,-0.845940230443183,0.966744662728263,0.961048577566071,-0.833214680737457,0.984464431086938,1,0.993328579221749,0.966884692150088,0.185552987364755,-0.832314315743902,-0.846718738161646,0.082540537744215,0.379417225903503,-0.823495896072903,-0.864408377416976,-0.24320152670279,-0.518355726631826,-0.797073990552043,-0.702762301072156,-0.847464913513454,0.308121703052516,-0.8313937361624,-0.622906917006293,-0.819792429189026,-0.813876843454336
