date,DJ,spprice,spdividend,spearnings,cpi,LRIR,ffrate,CPIrent,mktyield1yr,mktyield3yr,mktyield5yr,mktyield10yr,mktyield20yr,employeecomp,PCE,PS,newhousingunits,mktvalueprivatedebt,mktvaluegrossfeddebt,ratespread,BAA10yr,industrialprod,securitiesinbankcredit,commercialbankcredit,pctchangeTCC,nonrevolvingconsumercredit,m1,m2,incomeonassets 
1-Jan-1960,679.36,58.03,1.87,3.39,29.3,4.72,3.99,38.5,5.03,4.99,4.92,4.72,4.42,270.1,323.6,10.9,86,200.5,275.6,0.73,0.62,24.1712,75.4515,188.7354,0.1,56.01558,140,301.5,13.2
1-Feb-1960,622.62,55.78,1.9,3.39,29.4,4.49,3.97,38.5,4.66,4.73,4.69,4.49,4.28,270.8,325.3,10.6,90.7,201,276.1,0.52,0.85,23.9561,73.3363,185.7496,7.48,56.36463,139.9,298.5,13.2
1-Mar-1960,630.12,55.02,1.94,3.39,29.4,4.25,3.84,38.6,4.02,4.29,4.31,4.25,4.14,271.3,330.2,9.4,90.5,200,276.7,0.41,1,23.741,71.5296,184.952,10.61,56.86288,139.8,298.2,13.2
1-Apr-1960,616.59,55.73,1.94,3.35,29.5,4.28,3.92,38.7,4.04,4.27,4.29,4.28,4.23,273,336.5,8.4,123,200.9,277,0.36,0.92,23.5528,71.4718,185.9214,17.91,57.7114,139.6,300.3,13.2
1-May-1960,601.7,55.22,1.95,3.3,29.5,4.35,3.85,38.7,4.21,4.46,4.49,4.35,4.2,273.7,330,10.4,130.2,200.5,278.4,0.5,0.93,23.5259,71.6858,186.8898,4.98,57.95103,139.6,298.9,13.3
1-Jun-1960,625.5,57.26,1.95,3.26,29.6,4.15,3.32,38.7,3.36,4.01,4.12,4.15,4.04,273.5,330.1,10.4,122.8,198.1,278.1,0.83,1.11,23.2301,71.1864,187.4249,9.03,58.38706,139.6,300.9,13.3
1-Jul-1960,640.62,55.84,1.95,3.26,29.6,3.9,3.23,38.7,3.2,3.63,3.79,3.9,3.91,274.4,331.4,10.4,114.3,202.9,283.6,0.67,1.32,23.1495,73.002,189.5387,7.39,58.74671,140.2,303.5,13.4
1-Aug-1960,616.73,56.51,1.95,3.27,29.6,3.8,2.98,38.8,2.95,3.41,3.62,3.8,3.84,273.8,331.6,10.3,130.3,201.8,283.4,0.82,1.28,23.1226,73.0803,189.5547,4.09,58.94715,141.3,305.2,13.5
1-Sep-1960,625.99,54.81,1.95,3.27,29.6,3.8,2.6,38.8,3.07,3.43,3.61,3.8,3.86,273.8,333.4,10,96.9,201.8,283.1,1.2,1.21,22.8806,74.0062,191.2852,8.5,59.36465,141.2,307.8,13.6
1-Oct-1960,580.14,53.73,1.95,3.27,29.8,3.89,2.47,38.9,3.04,3.53,3.76,3.89,3.92,274.9,335.4,9.8,110.4,203.6,284.7,1.42,1.22,22.8537,75.8775,193.3049,5.34,59.62899,140.9,309.9,13.6
1-Nov-1960,580.36,55.47,1.95,3.27,29.8,3.93,2.44,39,3.08,3.6,3.81,3.93,3.96,273.7,335.4,9.8,92.8,201.9,283,1.49,1.15,22.5311,77.0858,194.5195,4.93,59.87401,140.9,311.7,13.6
1-Dec-1960,597.22,56.8,1.95,3.27,29.8,3.84,1.98,39,2.86,3.42,3.67,3.84,3.91,271.4,331.3,10.4,64.2,204.4,285.9,1.86,1.26,22.1009,78.2554,197.8736,3.03,60.02531,140.7,315.3,13.3
1-Jan-1961,615.89,59.72,1.95,3.21,29.8,3.84,1.45,39,2.81,3.39,3.67,3.84,3.9,273.4,332.2,11.1,70.4,204.4,284.2,2.39,1.26,22.1278,79.3604,198.9686,12.93,60.67185,141.1,317.5,13.5
1-Feb-1961,648.2,62.17,1.94,3.15,29.8,3.78,2.54,39.1,2.93,3.46,3.66,3.78,3.84,273.4,333.7,11.1,74.1,205.7,285.7,1.24,1.29,22.1009,79.6115,199.7949,-7.15,60.31013,141.6,316.6,13.6
1-Mar-1961,662.08,64.12,1.94,3.09,29.8,3.74,2.02,39.1,2.88,3.35,3.6,3.74,3.81,274.5,337.7,10.4,104.2,202.2,282.6,1.72,1.28,22.2353,79.0048,199.6753,2.89,60.45546,141.9,317.2,13.6
